Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2019-10-22,34-296,LAL,@,LAC,L (-10),1,36:00,7,19,.368,1,5,.200,3,4,.750,1,9,10,8,1,1,5,3,18,11.6,-8
2,2,2019-10-25,34-299,LAL,,UTA,W (+9),1,30:34,12,22,.545,1,4,.250,7,8,.875,2,5,7,10,1,0,1,0,32,30.9,+17
3,3,2019-10-27,34-301,LAL,,CHO,W (+19),1,35:01,7,14,.500,1,3,.333,5,5,1.000,1,5,6,12,1,0,4,0,20,20.6,+17
4,4,2019-10-29,34-303,LAL,,MEM,W (+29),1,28:19,8,15,.533,2,5,.400,5,7,.714,0,2,2,8,0,1,6,0,23,15.8,+2
5,5,2019-11-01,34-306,LAL,@,DAL,W (+9),1,42:32,13,23,.565,4,9,.444,9,11,.818,0,12,12,16,4,1,4,5,39,40.8,+15
6,6,2019-11-03,34-308,LAL,@,SAS,W (+7),1,37:18,8,23,.348,0,6,.000,5,10,.500,1,10,11,13,2,1,5,2,21,15.8,+15
7,7,2019-11-05,34-310,LAL,@,CHI,W (+6),1,35:11,10,19,.526,2,6,.333,8,9,.889,0,10,10,11,2,1,2,3,30,30.5,+17
8,8,2019-11-08,34-313,LAL,,MIA,W (+15),1,36:03,10,19,.526,4,7,.571,1,2,.500,1,3,4,6,0,0,3,2,25,17.3,+16
9,9,2019-11-10,34-315,LAL,,TOR,L (-9),1,35:20,5,15,.333,0,2,.000,3,6,.500,3,10,13,15,0,1,2,0,13,17.6,-6
10,10,2019-11-12,34-317,LAL,@,PHO,W (+8),1,37:04,8,18,.444,1,4,.250,2,7,.286,0,7,7,11,0,0,1,0,19,16.4,-2
11,11,2019-11-13,34-318,LAL,,GSW,W (+26),1,26:29,11,21,.524,1,5,.200,0,1,.000,2,4,6,12,1,1,4,1,23,20.6,+13
12,12,2019-11-15,34-320,LAL,,SAC,W (+2),1,38:40,10,20,.500,2,7,.286,7,7,1.000,3,1,4,11,3,0,2,1,29,29.7,+13
13,13,2019-11-17,34-322,LAL,,ATL,W (+21),1,33:07,13,21,.619,6,10,.600,1,1,1.000,0,7,7,12,1,1,0,1,33,35.3,+30
14,14,2019-11-19,34-324,LAL,,OKC,W (+5),1,37:08,10,21,.476,2,5,.400,3,5,.600,0,11,11,10,2,0,7,2,25,18.0,+6
15,15,2019-11-22,34-327,LAL,@,OKC,W (+3),1,35:37,9,20,.450,1,3,.333,4,6,.667,1,5,6,14,1,1,5,2,23,19.7,+3
16,16,2019-11-23,34-328,LAL,@,MEM,W (+1),1,38:50,14,27,.519,2,9,.222,0,0,,1,5,6,4,2,0,5,1,30,18.3,+7
17,17,2019-11-25,34-330,LAL,@,SAS,W (+10),1,35:08,13,24,.542,4,7,.571,3,8,.375,1,3,4,14,0,1,3,2,33,27.7,+6
18,18,2019-11-27,34-332,LAL,@,NOP,W (+4),1,37:35,10,18,.556,2,6,.333,7,11,.636,2,3,5,11,2,1,5,2,29,25.7,+3
19,19,2019-11-29,34-334,LAL,,WAS,W (+22),1,24:36,9,16,.563,4,8,.500,1,2,.500,0,3,3,11,2,1,6,1,23,19.9,+20
20,20,2019-12-01,34-336,LAL,,DAL,L (-14),1,36:25,11,20,.550,0,5,.000,3,3,1.000,0,9,9,8,4,0,6,3,25,20.5,-16
21,21,2019-12-03,34-338,LAL,@,DEN,W (+9),1,36:53,9,18,.500,1,4,.250,6,6,1.000,2,4,6,9,0,0,4,3,25,19.7,+4
22,22,2019-12-04,34-339,LAL,@,UTA,W (+25),1,29:28,9,21,.429,1,6,.167,1,1,1.000,0,4,4,12,1,0,1,3,20,17.3,+14
23,23,2019-12-06,34-341,LAL,@,POR,W (+23),1,33:45,11,23,.478,4,9,.444,5,7,.714,1,6,7,8,0,1,3,1,31,23.9,+21
24,24,2019-12-08,34-343,LAL,,MIN,W (+17),1,27:51,12,20,.600,6,8,.750,2,2,1.000,1,3,4,13,1,0,5,4,32,27.9,+24
25,25,2019-12-11,34-346,LAL,@,ORL,W (+9),1,37:55,11,24,.458,1,6,.167,2,5,.400,2,9,11,10,2,0,6,2,25,17.7,+8
26,26,2019-12-13,34-348,LAL,@,MIA,W (+3),1,37:26,11,22,.500,4,8,.500,2,4,.500,2,7,9,12,1,0,8,2,28,20.3,+9
27,27,2019-12-15,34-350,LAL,@,ATL,W (+5),1,36:56,12,21,.571,4,10,.400,4,7,.571,1,12,13,7,1,3,4,1,32,28.8,+10
28,28,2019-12-17,34-352,LAL,@,IND,L (-3),1,34:54,8,20,.400,0,6,.000,4,8,.500,1,8,9,9,0,0,5,2,20,11.2,-9
29,29,2019-12-19,34-354,LAL,@,MIL,L (-7),1,36:44,8,19,.421,3,7,.429,2,2,1.000,0,12,12,11,0,0,4,5,21,16.2,-14
30,,2019-12-22,34-357,LAL,,DEN,L (-24),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
31,30,2019-12-25,34-360,LAL,,LAC,L (-5),1,38:50,9,24,.375,2,12,.167,3,4,.750,3,6,9,10,2,1,2,3,23,19.8,+3
32,31,2019-12-28,34-363,LAL,@,POR,W (+8),1,36:44,7,15,.467,1,4,.250,6,8,.750,1,6,7,16,2,1,1,2,21,27.1,+5
33,32,2019-12-29,34-364,LAL,,DAL,W (+13),1,34:19,3,10,.300,2,4,.500,5,6,.833,0,6,6,13,2,0,2,2,13,16.9,+5
34,33,2020-01-01,35-002,LAL,,PHO,W (+10),1,38:04,11,21,.524,1,4,.250,8,12,.667,2,11,13,12,2,1,5,0,31,29.9,+18
35,34,2020-01-03,35-004,LAL,,NOP,W (+10),1,37:13,7,17,.412,1,3,.333,2,5,.400,0,8,8,15,2,0,2,1,17,19.2,+17
36,35,2020-01-05,35-006,LAL,,DET,W (+7),1,35:01,10,21,.476,0,3,.000,1,2,.500,3,11,14,11,0,0,3,2,21,19.2,+23
37,36,2020-01-07,35-008,LAL,,NYK,W (+30),1,31:26,9,19,.474,6,12,.500,7,7,1.000,0,5,5,5,2,1,4,2,31,24.2,+26
38,37,2020-01-10,35-011,LAL,@,DAL,W (+15),1,32:16,14,25,.560,3,6,.500,4,5,.800,2,14,16,7,1,0,3,0,35,31.2,+13
39,,2020-01-11,35-012,LAL,@,OKC,W (+15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
40,38,2020-01-13,35-014,LAL,,CLE,W (+29),1,32:43,12,16,.750,1,3,.333,6,7,.857,0,2,2,8,1,0,3,2,31,27.6,+19
41,39,2020-01-15,35-016,LAL,,ORL,L (-1),1,36:15,7,19,.368,2,9,.222,3,5,.600,0,3,3,19,1,0,5,1,19,17.5,-9
42,40,2020-01-18,35-019,LAL,@,HOU,W (+9),1,35:24,13,25,.520,2,7,.286,3,5,.600,0,5,5,12,2,0,6,3,31,22.6,+2
43,41,2020-01-20,35-021,LAL,@,BOS,L (-32),1,29:11,5,12,.417,0,2,.000,5,5,1.000,3,4,7,13,0,0,4,1,15,16.6,-21
44,42,2020-01-22,35-023,LAL,@,NYK,W (+8),1,36:03,9,16,.563,2,5,.400,1,3,.333,0,6,6,5,5,0,4,0,21,18.9,+13
45,43,2020-01-23,35-024,LAL,@,BRK,W (+15),1,33:36,11,19,.579,3,6,.500,2,2,1.000,2,9,11,10,1,1,5,0,27,25.9,+26
46,44,2020-01-25,35-026,LAL,@,PHI,L (-17),1,35:21,9,18,.500,1,6,.167,10,13,.769,0,7,7,8,1,0,8,3,29,18.3,-22
47,45,2020-01-31,35-032,LAL,,POR,L (-8),1,37:59,9,22,.409,3,8,.375,1,4,.250,2,6,8,10,0,1,5,2,22,14.1,+7
48,46,2020-02-01,35-033,LAL,@,SAC,W (+16),1,33:34,6,15,.400,1,4,.250,2,3,.667,0,10,10,11,2,0,2,3,15,16.0,+33
49,47,2020-02-04,35-036,LAL,,SAS,W (+27),1,34:11,12,20,.600,6,9,.667,6,9,.667,1,6,7,9,1,0,2,1,36,33.0,+20
50,48,2020-02-06,35-038,LAL,,HOU,L (-10),1,36:38,8,19,.421,1,8,.125,1,1,1.000,2,7,9,15,2,0,6,0,18,17.9,-4
51,49,2020-02-08,35-040,LAL,@,GSW,W (+5),1,33:34,7,17,.412,3,8,.375,5,6,.833,0,8,8,11,1,0,7,2,22,15.8,+6
52,50,2020-02-10,35-042,LAL,,PHO,W (+25),1,30:05,6,16,.375,3,6,.500,2,4,.500,0,8,8,9,1,0,8,2,17,8.3,+16
53,51,2020-02-12,35-044,LAL,@,DEN,W (+4),1,41:30,15,29,.517,1,7,.143,1,4,.250,1,11,12,14,0,0,3,3,32,26.1,+4
54,52,2020-02-21,35-053,LAL,,MEM,W (+12),1,35:35,10,17,.588,1,4,.250,11,12,.917,0,3,3,7,0,2,1,0,32,29.9,+6
55,53,2020-02-23,35-055,LAL,,BOS,W (+2),1,35:29,9,19,.474,4,10,.400,7,12,.583,0,8,8,9,0,0,2,4,29,22.4,-1
56,54,2020-02-25,35-057,LAL,,NOP,W (+9),1,34:12,17,27,.630,5,11,.455,1,2,.500,2,6,8,6,0,1,7,1,40,28.2,+12
57,,2020-02-27,35-059,LAL,@,GSW,W (+30),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
58,55,2020-02-29,35-061,LAL,@,MEM,L (-17),1,34:19,8,18,.444,2,8,.250,1,2,.500,2,6,8,10,1,1,5,1,19,15.7,-12
59,56,2020-03-01,35-062,LAL,@,NOP,W (+8),1,36:23,14,21,.667,3,5,.600,3,3,1.000,0,12,12,13,2,0,6,2,34,32.8,+22
60,57,2020-03-03,35-064,LAL,,PHI,W (+13),1,33:45,9,16,.563,2,5,.400,2,3,.667,1,6,7,14,1,2,3,1,22,25.3,-2
61,58,2020-03-06,35-067,LAL,,MIL,W (+10),1,36:30,12,21,.571,1,7,.143,12,15,.800,0,8,8,8,3,0,4,4,37,31.3,+8
62,59,2020-03-08,35-069,LAL,@,LAC,W (+9),1,34:31,7,17,.412,2,6,.333,12,14,.857,2,6,8,9,0,2,2,3,28,25.8,+7
63,60,2020-03-10,35-071,LAL,,BRK,L (-2),1,34:52,12,22,.545,4,9,.444,1,5,.200,1,11,12,9,1,0,3,1,29,24.7,+8
